dataset,poison_rate,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,0.1,False,False,42,0.1,top-left,1,1.0,7,0.0036406879714012247,adam,16,flash,40,0,0,0,1,3,False,0.9982993197278912,0.9097222222222222,1.0
gesture,0.1,False,False,42,0.1,top-left,1,1.0,7,0.0042786030478927555,adam,16,flash,40,0,0,1,1,6,False,0.9931972789115646,0.90625,1.0
