dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,False,False,57,0.1,top-left,3,0.2,0,0.012809456638092187,adam,16,static,40,7,0,1,1,1,False,0.9268707482993197,0.8854166666666666,0.09375
gesture,False,False,57,0.1,top-left,3,0.2,0,0.011629259204301906,adam,16,static,40,6,0,1,1,3,False,0.935374149659864,0.8993055555555556,0.11458333333333333
gesture,False,False,57,0.1,top-left,3,0.2,0,0.01231120127969149,adam,16,static,40,5,0,1,1,5,False,0.9302721088435374,0.9166666666666666,0.10069444444444445
gesture,False,False,57,0.1,top-left,3,0.2,0,0.01192049475918923,adam,16,static,40,4,0,1,1,7,False,0.9285714285714286,0.8993055555555556,0.1111111111111111
gesture,False,False,57,0.1,top-left,3,0.2,0,0.012901635042258672,adam,16,static,40,3,0,1,1,9,False,0.9294217687074829,0.8888888888888888,0.10416666666666667
gesture,False,False,57,0.1,top-left,3,0.2,0,0.013341381179713676,adam,16,static,40,2,0,1,1,11,False,0.9285714285714286,0.9027777777777778,0.11458333333333333
