dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.045979598613248934,adam,16,static,10,15,0,0,1,1,False,0.69,0.62,0.116
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.04564220648838414,adam,16,static,10,14,0,0,1,2,False,0.6908888888888889,0.619,0.15
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.044190462094214226,adam,16,static,10,13,0,0,1,3,False,0.7007777777777778,0.614,0.266
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.04192982347806295,adam,16,static,10,12,0,0,1,4,False,0.7186666666666667,0.623,0.376
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.04055851400064098,adam,16,static,10,11,0,0,1,5,False,0.7316666666666667,0.643,0.493
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.03958773664633433,adam,16,static,10,10,0,0,1,6,False,0.7521111111111111,0.631,0.704
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.039018735486600134,adam,16,static,10,9,0,0,1,7,False,0.764,0.619,0.838
cifar10,False,False,42,0.1,top-left,2,0.2,0,0.03940157507691119,adam,16,static,10,8,0,0,1,8,False,0.7592222222222222,0.632,0.966
