dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,randomtrain_acc,test_acc_clean,test_acc_backdoor,defend,prune,prune_rate,pruned_clean,pruned_bd,fine_tune,fine_tune_epochs,fine_tune_clean,fine_tune_bd,fine_prune,fine_prune_clean,fine_prune_bd
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004381631318872579,adam,16,flash,40,0,0,0,1,6,False,0.9923469387755102,0.9201388888888888,1.0,True,True,0.6,0.5625,1.0,True,5,0.9236111111111112,0.011078312889569335,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0036910319531361768,adam,16,flash,40,0,0,0,1,7,False,0.9974489795918368,0.9409722222222222,1.0,True,True,0.6,0.6527777777777778,1.0,True,5,0.9166666666666666,0.0064071011301065385,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006350026857171233,adam,16,flash,40,7,0,0,1,2,False,0.9906462585034014,0.9131944444444444,0.9965277777777778,True,True,0.6,0.6875,1.0,True,5,0.8923611111111112,0.039609006334406636,True,0.9027777777777778,0.5486111111111112
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004899143021186294,adam,16,flash,40,6,0,0,1,3,False,0.9931972789115646,0.9305555555555556,1.0,True,True,0.6,0.5625,1.0,True,5,0.9166666666666666,0.02565244774127172,True,0.9097222222222222,0.9756944444444444
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004455127157777751,adam,16,flash,40,6,0,0,1,4,False,0.9982993197278912,0.9270833333333334,1.0,True,True,0.6,0.5902777777777778,1.0,True,5,0.9166666666666666,0.02462510893949204,True,0.9131944444444444,0.9861111111111112
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004132342143902922,adam,16,flash,40,5,0,0,1,5,False,0.9957482993197279,0.9305555555555556,1.0,True,True,0.6,0.59375,1.0,True,5,0.9201388888888888,0.0212205553931805,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004485203126654485,adam,16,flash,40,5,0,0,1,6,False,0.9940476190476191,0.9340277777777778,1.0,True,True,0.6,0.8368055555555556,1.0,True,5,0.9236111111111112,0.018010747554298077,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003904688952896161,adam,16,flash,40,4,0,0,1,7,False,0.9940476190476191,0.9409722222222222,1.0,True,True,0.6,0.4722222222222222,0.9965277777777778,True,5,0.9236111111111112,0.015633939859172743,True,0.9375,0.9375
gesture,False,False,57,0.1,top-left,1,0.1,0,0.005568423590363086,adam,16,flash,40,0,0,1,1,3,False,0.9880952380952381,0.9340277777777778,1.0,True,True,0.6,0.5659722222222222,0.8715277777777778,True,5,0.9131944444444444,0.048874031700607806,True,0.9236111111111112,0.5798611111111112
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004159304843962091,adam,16,flash,40,0,0,1,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.5208333333333334,1.0,True,5,0.9097222222222222,0.011264636440399853,True,0.9305555555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003925053655410654,adam,16,flash,40,0,0,1,1,7,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.6909722222222222,1.0,True,5,0.9131944444444444,0.008807077374108808,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0034585110478888765,adam,16,flash,40,0,0,1,1,9,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.7291666666666666,1.0,True,5,0.9131944444444444,0.002577089361794707,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0030431488044179826,adam,16,flash,40,0,0,1,1,11,False,0.9931972789115646,0.9270833333333334,1.0,True,True,0.6,0.6145833333333334,1.0,True,5,0.9201388888888888,0.005707773635448474,True,0.9305555555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.002998315748999364,adam,16,flash,40,0,0,1,1,13,False,0.9957482993197279,0.9166666666666666,1.0,True,True,0.6,0.7534722222222222,0.9826388888888888,True,5,0.8993055555555556,0.0029327948383676508,True,0.9027777777777778,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.02188199697708597,adam,16,flash,10,0,0,1,1,13,False,0.8639455782312925,0.7638888888888888,1.0,True,True,0.6,0.3402777777777778,1.0,True,5,0.78125,0.009393976781413786,True,0.7986111111111112,0.3402777777777778
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006233361872787379,adam,16,flash,40,0,0,0,1,2,False,0.9931972789115646,0.90625,0.9930555555555556,True,True,0.6,0.3333333333333333,1.0,True,5,0.9270833333333334,0.038679583269792296,True,0.9166666666666666,0.5208333333333334
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0053006871793495145,adam,16,flash,40,0,0,0,1,3,False,0.9897959183673469,0.9131944444444444,1.0,True,True,0.6,0.6076388888888888,0.9097222222222222,True,5,0.8958333333333334,0.045515298636423215,True,0.9270833333333334,0.5451388888888888
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004138562717430648,adam,16,flash,40,0,0,0,1,4,False,0.9931972789115646,0.9409722222222222,1.0,True,True,0.6,0.8159722222222222,0.9965277777777778,True,5,0.9131944444444444,0.04622027391774787,True,0.9236111111111112,0.90625
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0037571325301046983,adam,16,flash,40,0,0,0,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.6493055555555556,0.9861111111111112,True,5,0.9131944444444444,0.019696969985185813,True,0.9131944444444444,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004381631318872579,adam,16,flash,40,0,0,0,1,6,False,0.9923469387755102,0.9201388888888888,1.0,True,True,0.6,0.5625,1.0,True,5,0.9236111111111112,0.011078312889569335,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0036910319531361768,adam,16,flash,40,0,0,0,1,7,False,0.9974489795918368,0.9409722222222222,1.0,True,True,0.6,0.6527777777777778,1.0,True,5,0.9166666666666666,0.0064071011301065385,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006350026857171233,adam,16,flash,40,7,0,0,1,2,False,0.9906462585034014,0.9131944444444444,0.9965277777777778,True,True,0.6,0.6875,1.0,True,5,0.8923611111111112,0.039609006334406636,True,0.9027777777777778,0.5486111111111112
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004899143021186294,adam,16,flash,40,6,0,0,1,3,False,0.9931972789115646,0.9305555555555556,1.0,True,True,0.6,0.5625,1.0,True,5,0.9166666666666666,0.02565244774127172,True,0.9097222222222222,0.9756944444444444
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004455127157777751,adam,16,flash,40,6,0,0,1,4,False,0.9982993197278912,0.9270833333333334,1.0,True,True,0.6,0.5902777777777778,1.0,True,5,0.9166666666666666,0.02462510893949204,True,0.9131944444444444,0.9861111111111112
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004132342143902922,adam,16,flash,40,5,0,0,1,5,False,0.9957482993197279,0.9305555555555556,1.0,True,True,0.6,0.59375,1.0,True,5,0.9201388888888888,0.0212205553931805,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004485203126654485,adam,16,flash,40,5,0,0,1,6,False,0.9940476190476191,0.9340277777777778,1.0,True,True,0.6,0.8368055555555556,1.0,True,5,0.9236111111111112,0.018010747554298077,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003904688952896161,adam,16,flash,40,4,0,0,1,7,False,0.9940476190476191,0.9409722222222222,1.0,True,True,0.6,0.4722222222222222,0.9965277777777778,True,5,0.9236111111111112,0.015633939859172743,True,0.9375,0.9375
gesture,False,False,57,0.1,top-left,1,0.1,0,0.005568423590363086,adam,16,flash,40,0,0,1,1,3,False,0.9880952380952381,0.9340277777777778,1.0,True,True,0.6,0.5659722222222222,0.8715277777777778,True,5,0.9131944444444444,0.048874031700607806,True,0.9236111111111112,0.5798611111111112
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004159304843962091,adam,16,flash,40,0,0,1,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.5208333333333334,1.0,True,5,0.9097222222222222,0.011264636440399853,True,0.9305555555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003925053655410654,adam,16,flash,40,0,0,1,1,7,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.6909722222222222,1.0,True,5,0.9131944444444444,0.008807077374108808,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0034585110478888765,adam,16,flash,40,0,0,1,1,9,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.7291666666666666,1.0,True,5,0.9131944444444444,0.002577089361794707,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0030431488044179826,adam,16,flash,40,0,0,1,1,11,False,0.9931972789115646,0.9270833333333334,1.0,True,True,0.6,0.6145833333333334,1.0,True,5,0.9201388888888888,0.005707773635448474,True,0.9305555555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.002998315748999364,adam,16,flash,40,0,0,1,1,13,False,0.9957482993197279,0.9166666666666666,1.0,True,True,0.6,0.7534722222222222,0.9826388888888888,True,5,0.8993055555555556,0.0029327948383676508,True,0.9027777777777778,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006233361872787379,adam,16,flash,40,0,0,0,1,2,False,0.9931972789115646,0.90625,0.9930555555555556,True,True,0.6,0.3333333333333333,1.0,True,10,0.9166666666666666,0.042813056420224406,True,0.9340277777777778,0.2465277777777778
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0053006871793495145,adam,16,flash,40,0,0,0,1,3,False,0.9897959183673469,0.9131944444444444,1.0,True,True,0.6,0.6076388888888888,0.9097222222222222,True,10,0.9270833333333334,0.04379890367595686,True,0.9131944444444444,0.08333333333333333
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004138562717430648,adam,16,flash,40,0,0,0,1,4,False,0.9931972789115646,0.9409722222222222,1.0,True,True,0.6,0.8159722222222222,0.9965277777777778,True,10,0.9236111111111112,0.031771117381544575,True,0.9166666666666666,0.8958333333333334
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0037571325301046983,adam,16,flash,40,0,0,0,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.6493055555555556,0.9861111111111112,True,10,0.9131944444444444,0.01332308714174562,True,0.9236111111111112,0.9722222222222222
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004381631318872579,adam,16,flash,40,0,0,0,1,6,False,0.9923469387755102,0.9201388888888888,1.0,True,True,0.6,0.5625,1.0,True,10,0.9166666666666666,0.011069483332297144,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0036910319531361768,adam,16,flash,40,0,0,0,1,7,False,0.9974489795918368,0.9409722222222222,1.0,True,True,0.6,0.6527777777777778,1.0,True,10,0.9236111111111112,0.006518912418768095,True,0.9166666666666666,0.9826388888888888
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006350026857171233,adam,16,flash,40,7,0,0,1,2,False,0.9906462585034014,0.9131944444444444,0.9965277777777778,True,True,0.6,0.6875,1.0,True,10,0.9027777777777778,0.04343564032266537,True,0.8923611111111112,0.2465277777777778
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004899143021186294,adam,16,flash,40,6,0,0,1,3,False,0.9931972789115646,0.9305555555555556,1.0,True,True,0.6,0.5625,1.0,True,10,0.9097222222222222,0.02749091371273001,True,0.9097222222222222,0.5694444444444444
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004455127157777751,adam,16,flash,40,6,0,0,1,4,False,0.9982993197278912,0.9270833333333334,1.0,True,True,0.6,0.5902777777777778,1.0,True,10,0.9131944444444444,0.026166746612741716,True,0.9340277777777778,0.8541666666666666
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004132342143902922,adam,16,flash,40,5,0,0,1,5,False,0.9957482993197279,0.9305555555555556,1.0,True,True,0.6,0.59375,1.0,True,10,0.9166666666666666,0.021277004257879324,True,0.9236111111111112,0.3819444444444444
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004485203126654485,adam,16,flash,40,5,0,0,1,6,False,0.9940476190476191,0.9340277777777778,1.0,True,True,0.6,0.8368055555555556,1.0,True,10,0.9166666666666666,0.01888664528572311,True,0.9027777777777778,0.9895833333333334
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003904688952896161,adam,16,flash,40,4,0,0,1,7,False,0.9940476190476191,0.9409722222222222,1.0,True,True,0.6,0.4722222222222222,0.9965277777777778,True,10,0.9375,0.028904118083624378,True,0.9236111111111112,0.7881944444444444
gesture,False,False,57,0.1,top-left,1,0.1,0,0.005568423590363086,adam,16,flash,40,0,0,1,1,3,False,0.9880952380952381,0.9340277777777778,1.0,True,True,0.6,0.5659722222222222,0.8715277777777778,True,10,0.9236111111111112,0.04630261426791549,True,0.9201388888888888,0.3819444444444444
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004159304843962091,adam,16,flash,40,0,0,1,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.5208333333333334,1.0,True,10,0.9305555555555556,0.014684578840387985,True,0.9305555555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003925053655410654,adam,16,flash,40,0,0,1,1,7,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.6909722222222222,1.0,True,10,0.9236111111111112,0.012018438069693124,True,0.9201388888888888,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0034585110478888765,adam,16,flash,40,0,0,1,1,9,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.7291666666666666,1.0,True,10,0.9236111111111112,0.005137927298265923,True,0.9131944444444444,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0030431488044179826,adam,16,flash,40,0,0,1,1,11,False,0.9931972789115646,0.9270833333333334,1.0,True,True,0.6,0.6145833333333334,1.0,True,10,0.9305555555555556,0.005197618363632096,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.002998315748999364,adam,16,flash,40,0,0,1,1,13,False,0.9957482993197279,0.9166666666666666,1.0,True,True,0.6,0.7534722222222222,0.9826388888888888,True,10,0.9027777777777778,0.0016969623846105402,True,0.8958333333333334,0.9548611111111112
