dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,57,0.1,top-left,3,0.2,0,0.04707530626654625,adam,16,static,10,15,0,1,1,1,False,0.6758888888888889,0.624,0.12
cifar10,False,False,57,0.1,top-left,3,0.2,0,0.04661050491200553,adam,16,static,10,13,0,1,1,3,False,0.6797777777777778,0.631,0.135
cifar10,False,False,57,0.1,top-left,3,0.2,0,0.04377851062019666,adam,16,static,10,11,0,1,1,5,False,0.7073333333333334,0.619,0.46
cifar10,False,False,57,0.1,top-left,3,0.2,0,0.04004800010224183,adam,16,static,10,9,0,1,1,7,False,0.7492222222222222,0.645,0.838
cifar10,False,False,57,0.1,top-left,3,0.2,0,0.03691463457379076,adam,16,static,10,7,0,1,1,9,False,0.7743333333333333,0.646,0.98
cifar10,False,False,57,0.1,top-left,3,0.2,0,0.03562430177628994,adam,16,static,10,5,0,1,1,11,False,0.7821111111111111,0.636,0.999
