,entropy_clean,entropy_backdoor
0,2.038706064224243,1.1920930376163597e-07
1,2.2958579063415527,1.1920930376163597e-07
2,2.0539791584014893,1.1920930376163597e-07
3,1.9795421361923218,1.1920930376163597e-07
4,1.9560655355453491,1.1920930376163597e-07
5,1.9578325748443604,1.1920930376163597e-07
6,2.0509212017059326,1.1920930376163597e-07
7,1.9640175104141235,1.1920930376163597e-07
8,2.123263359069824,1.1920930376163597e-07
9,1.9613709449768066,1.1920930376163597e-07
10,2.291757822036743,1.1920930376163597e-07
11,2.257342576980591,1.1920930376163597e-07
12,2.312826156616211,1.1920930376163597e-07
13,2.3678507804870605,1.1920930376163597e-07
14,2.2835466861724854,1.1920930376163597e-07
15,2.2321746349334717,1.1920930376163597e-07
16,2.195512056350708,1.1920930376163597e-07
17,2.355968952178955,1.1920930376163597e-07
18,2.3396599292755127,1.1920930376163597e-07
19,2.0289056301116943,1.1920930376163597e-07
20,2.07350492477417,1.1920930376163597e-07
21,2.2524425983428955,1.1920930376163597e-07
22,2.118971109390259,1.1920930376163597e-07
23,2.2162296772003174,1.1920930376163597e-07
24,1.619886875152588,1.1920930376163597e-07
25,1.726176142692566,1.1920930376163597e-07
26,1.6016643047332764,1.1920930376163597e-07
27,1.8102349042892456,1.1920930376163597e-07
28,1.9058374166488647,1.1920930376163597e-07
29,1.516312837600708,1.1920930376163597e-07
30,1.2268071174621582,1.1920930376163597e-07
31,1.3932431936264038,1.1920930376163597e-07
32,1.4673001766204834,1.1920930376163597e-07
33,1.7425097227096558,1.1920930376163597e-07
34,1.9112224578857422,1.1920930376163597e-07
35,1.7774627208709717,1.1920930376163597e-07
36,1.7340362071990967,1.1920930376163597e-07
37,1.8073532581329346,1.1920930376163597e-07
38,1.708889365196228,1.1920930376163597e-07
39,1.3678398132324219,1.1920930376163597e-07
40,1.4624685049057007,1.1920930376163597e-07
41,1.4632972478866577,1.1920930376163597e-07
42,1.637019395828247,1.1920930376163597e-07
43,1.9018474817276,1.1920930376163597e-07
44,1.9013336896896362,1.1920930376163597e-07
45,1.729705810546875,1.1920930376163597e-07
46,2.1781466007232666,1.1920930376163597e-07
47,1.9021027088165283,1.1920930376163597e-07
48,0.9653034210205078,1.1920930376163597e-07
49,0.8394200801849365,1.1920930376163597e-07
50,1.1042381525039673,1.1920930376163597e-07
51,1.4642720222473145,1.1920930376163597e-07
52,1.8797011375427246,1.1920930376163597e-07
53,2.009777545928955,1.1920930376163597e-07
54,2.1761105060577393,1.1920930376163597e-07
55,0.5166411399841309,1.1920930376163597e-07
56,1.7981089353561401,1.1920930376163597e-07
57,1.8850717544555664,1.1920930376163597e-07
58,0.707966148853302,1.1920930376163597e-07
59,1.0274032354354858,1.1920930376163597e-07
60,1.3272870779037476,1.1920930376163597e-07
61,1.5392119884490967,1.1920930376163597e-07
62,0.9622511863708496,1.1920930376163597e-07
63,1.619634747505188,1.1920930376163597e-07
64,1.148496150970459,1.1920930376163597e-07
65,0.6542404294013977,0.05600152164697647
66,1.4694546461105347,1.1920930376163597e-07
67,2.10849666595459,1.1920930376163597e-07
68,2.2085392475128174,1.1920930376163597e-07
69,1.4924124479293823,1.1920930376163597e-07
70,1.9543324708938599,1.1920930376163597e-07
71,2.1930932998657227,1.1920930376163597e-07
72,2.083575963973999,1.1920930376163597e-07
73,2.1377696990966797,1.1920930376163597e-07
74,2.1113696098327637,1.1920930376163597e-07
75,1.8989413976669312,1.1920930376163597e-07
76,2.1514205932617188,1.1920930376163597e-07
77,1.5541610717773438,1.1920930376163597e-07
78,1.3364148139953613,0.05600152164697647
79,1.7423667907714844,0.05600152164697647
80,1.4424093961715698,1.1920930376163597e-07
81,1.583117961883545,1.1920930376163597e-07
82,1.8280850648880005,1.1920930376163597e-07
83,2.0221242904663086,1.1920930376163597e-07
84,1.8224564790725708,0.05600152164697647
85,1.8809454441070557,1.1920930376163597e-07
86,1.6612039804458618,1.1920930376163597e-07
87,1.3337393999099731,1.1920930376163597e-07
88,1.9755834341049194,1.1920930376163597e-07
89,1.7432416677474976,1.1920930376163597e-07
90,1.8453059196472168,1.1920930376163597e-07
91,1.7129746675491333,1.1920930376163597e-07
92,1.3907856941223145,1.1920930376163597e-07
93,1.4449565410614014,1.1920930376163597e-07
94,1.9914062023162842,1.1920930376163597e-07
95,1.8402068614959717,1.1920930376163597e-07
96,0.2536389231681824,1.1920930376163597e-07
97,0.5840070843696594,1.1920930376163597e-07
98,0.5542014837265015,1.1920930376163597e-07
99,0.702354907989502,1.1920930376163597e-07
100,1.017743706703186,1.1920930376163597e-07
101,0.7563925385475159,1.1920930376163597e-07
102,1.020629644393921,1.1920930376163597e-07
103,0.5654190182685852,1.1920930376163597e-07
104,1.3410003185272217,1.1920930376163597e-07
105,1.3469980955123901,0.05600152164697647
106,1.035576581954956,1.1920930376163597e-07
107,0.9654046893119812,1.1920930376163597e-07
108,1.3259539604187012,1.1920930376163597e-07
109,0.9330763220787048,1.1920930376163597e-07
110,0.48079419136047363,0.05600152164697647
111,0.9961419701576233,1.1920930376163597e-07
112,0.9875591993331909,1.1920930376163597e-07
113,1.192389726638794,1.1920930376163597e-07
114,0.9598063230514526,1.1920930376163597e-07
115,0.5560224056243896,0.11190202832221985
116,0.592522382736206,0.05600152164697647
117,0.5359777212142944,1.1920930376163597e-07
118,1.1179345846176147,1.1920930376163597e-07
119,1.106666922569275,1.1920930376163597e-07
120,0.42270907759666443,0.05600152164697647
121,0.5804107189178467,0.1347421407699585
122,0.5100141763687134,0.05600152164697647
123,1.658158779144287,1.1920930376163597e-07
124,1.6950020790100098,1.1920930376163597e-07
125,0.42164134979248047,1.1920930376163597e-07
126,0.5938629508018494,1.1920930376163597e-07
127,0.6496089696884155,1.1920930376163597e-07
128,1.2307748794555664,1.1920930376163597e-07
129,0.7135099768638611,1.1920930376163597e-07
130,1.2204225063323975,1.1920930376163597e-07
131,1.3339897394180298,1.1920930376163597e-07
132,1.5527100563049316,1.1920930376163597e-07
133,1.8325778245925903,1.1920930376163597e-07
134,0.7641265392303467,1.1920930376163597e-07
135,0.8962001800537109,1.1920930376163597e-07
136,0.8327867388725281,1.1920930376163597e-07
137,0.7604687809944153,1.1920930376163597e-07
138,1.004361629486084,1.1920930376163597e-07
139,0.6474306583404541,1.1920930376163597e-07
140,0.6043211817741394,0.05600152164697647
141,0.7754451632499695,1.1920930376163597e-07
142,0.9978737831115723,0.05600152164697647
143,0.8864644765853882,1.1920930376163597e-07
144,0.42164134979248047,0.11190202832221985
145,0.19851526618003845,0.19043752551078796
146,0.6928558945655823,0.19851526618003845
147,0.6207466125488281,1.1920930376163597e-07
148,1.7712464332580566,1.1920930376163597e-07
149,0.7467246055603027,1.1920930376163597e-07
150,0.9551211595535278,1.1920930376163597e-07
151,0.7098551392555237,1.1920930376163597e-07
152,1.0451234579086304,1.1920930376163597e-07
153,1.1934924125671387,1.1920930376163597e-07
154,0.4673635959625244,0.11190202832221985
155,1.1313122510910034,1.1920930376163597e-07
156,1.899634599685669,0.05600152164697647
157,1.6728333234786987,1.1920930376163597e-07
158,0.40134531259536743,1.1920930376163597e-07
159,0.30253779888153076,1.1920930376163597e-07
160,0.05600152164697647,1.1920930376163597e-07
161,1.1685103178024292,1.1920930376163597e-07
162,1.1971372365951538,1.1920930376163597e-07
163,0.6456502079963684,0.1347421407699585
164,0.7653795480728149,1.1920930376163597e-07
165,0.1347421407699585,1.1920930376163597e-07
166,0.5675875544548035,0.09803909808397293
167,0.8220504522323608,1.1920930376163597e-07
168,0.9173904061317444,0.05600152164697647
169,0.7591786980628967,1.1920930376163597e-07
170,1.2803395986557007,1.1920930376163597e-07
171,1.3359591960906982,1.1920930376163597e-07
172,1.5708277225494385,1.1920930376163597e-07
173,1.1481432914733887,1.1920930376163597e-07
174,1.0770759582519531,1.1920930376163597e-07
175,0.05600152164697647,1.1920930376163597e-07
176,1.7079832553863525,1.1920930376163597e-07
177,1.924363374710083,1.1920930376163597e-07
178,1.7818411588668823,1.1920930376163597e-07
179,2.14993953704834,1.1920930376163597e-07
180,1.6731646060943604,1.1920930376163597e-07
181,2.0846385955810547,1.1920930376163597e-07
182,1.2581392526626587,1.1920930376163597e-07
183,0.8966346383094788,1.1920930376163597e-07
184,0.2233959436416626,0.05600152164697647
185,1.576401710510254,1.1920930376163597e-07
186,1.1424012184143066,1.1920930376163597e-07
187,1.1785552501678467,1.1920930376163597e-07
188,1.3988749980926514,0.05600152164697647
189,0.30938073992729187,1.1920930376163597e-07
190,1.889467477798462,1.1920930376163597e-07
191,1.2404580116271973,0.05600152164697647
192,1.5461058616638184,1.1920930376163597e-07
193,1.526500940322876,1.1920930376163597e-07
194,1.5219895839691162,1.1920930376163597e-07
195,1.6700655221939087,1.1920930376163597e-07
196,1.5353022813796997,1.1920930376163597e-07
197,1.3883931636810303,1.1920930376163597e-07
198,1.9185421466827393,1.1920930376163597e-07
199,1.6789860725402832,1.1920930376163597e-07
