dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,False,False,57,0.1,top-left,2,0.2,0,0.011982811667139128,adam,16,static,40,7,0,0,1,1,False,0.9311224489795918,0.8958333333333334,0.11805555555555555
gesture,False,False,57,0.1,top-left,2,0.2,0,0.01197525342375192,adam,16,static,40,7,0,0,1,2,False,0.9336734693877551,0.9097222222222222,0.10069444444444445
gesture,False,False,57,0.1,top-left,2,0.2,0,0.010353184273453797,adam,16,static,40,6,0,0,1,3,False,0.951530612244898,0.9027777777777778,0.1875
gesture,False,False,57,0.1,top-left,2,0.2,0,0.006533269707088163,adam,16,static,40,6,0,0,1,4,False,0.9872448979591837,0.9270833333333334,0.9965277777777778
gesture,False,False,57,0.1,top-left,2,0.2,0,0.008308197726451215,adam,16,static,40,5,0,0,1,5,False,0.9719387755102041,0.9201388888888888,0.375
gesture,False,False,57,0.1,top-left,2,0.2,0,0.005294671991751308,adam,16,static,40,5,0,0,1,6,False,0.9965986394557823,0.9027777777777778,0.9965277777777778
gesture,False,False,57,0.1,top-left,2,0.2,0,0.004918055233488582,adam,16,static,40,4,0,0,1,7,False,0.9914965986394558,0.9097222222222222,0.9826388888888888
gesture,False,False,57,0.1,top-left,2,0.2,0,0.004121999795624644,adam,16,static,40,4,0,0,1,8,False,0.9948979591836735,0.9166666666666666,1.0
