dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
mnist,False,False,42,0.1,top-left,1,0.1,0,0.004176975866038508,adam,16,static,10,7,0,0,1,1,False,0.9956666666666667,0.9936,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0037946122747380285,adam,16,static,10,7,0,0,1,2,False,0.9966333333333334,0.9935,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0029594307222384183,adam,16,static,10,6,0,0,1,3,False,0.9966833333333334,0.9939,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.002994920550279009,adam,16,static,10,6,0,0,1,4,False,0.9967833333333334,0.9939,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0022861683148231045,adam,16,static,10,5,0,0,1,5,False,0.9968833333333333,0.9945,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0022669461282212675,adam,16,static,10,5,0,0,1,6,False,0.9969166666666667,0.9927,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0017554559796951557,adam,16,static,10,4,0,0,1,7,False,0.9965333333333334,0.9944,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0016855491610336078,adam,16,static,10,4,0,0,1,8,False,0.9969166666666667,0.9947,1.0
