dataset;least;most_polarity;seed;epsilon;pos;polarity;trigger_size;trigger_label;loss;optimizer;batch_size;type;epochs;start;end;strobe_gap;strobe_on_duration;trigger_length;random;train_acc;test_acc_clean;test_acc_backdoor;defend;prune;prune_rate;pruned_clean;pruned_bd;fine_tune;fine_tune_epochs;fine_tune_clean;fine_tune_bd;fine_prune;fine_prune_clean;fine_prune_bd
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,1;0,8680555555555556;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,9131944444444444;0,9861111111111112
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,2;0,8298611111111112;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,9097222222222222;0,9861111111111112
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,3;0,7083333333333334;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,90625;0,9895833333333334
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,4;0,5416666666666666;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,9027777777777778;0,9930555555555556
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,5;0,3333333333333333;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,8611111111111112;0,9965277777777778
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,6;0,1736111111111111;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,7916666666666666;0,9965277777777778
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,7;0,08333333333333333;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,7777777777777778;1,0
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,8;0,08333333333333333;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,6319444444444444;0,9965277777777778
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;0,9;0,08333333333333333;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,2048611111111111;1,0
gesture;False;False;57;0,1;top-left;3;0,1;0;0,0018063930616013983;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,9131944444444444;0,9895833333333334;True;True;1,0;0,08333333333333333;1,0;True;8;0,9131944444444444;0,9930555555555556;True;0,08333333333333333;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,1;0,9027777777777778;0,9965277777777778;True;8;0,8923611111111112;0,9895833333333334;True;0,9027777777777778;0,9930555555555556
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,2;0,9027777777777778;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,90625;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,3;0,8888888888888888;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,8854166666666666;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,4;0,8298611111111112;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,8194444444444444;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,5;0,6284722222222222;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,6006944444444444;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,6;0,4270833333333333;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,4131944444444444;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,7;0,2604166666666667;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,2534722222222222;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,8;0,14930555555555555;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,18055555555555555;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;0,9;0,09027777777777778;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,09375;1,0
gesture;False;False;42;0,1;top-left;3;0,1;0;0,0015933882919469608;adam;16;flash;80;0;0;1;1;3;False;1,0;0,9027777777777778;0,9930555555555556;True;True;1,0;0,08333333333333333;1,0;True;8;0,8923611111111112;0,9895833333333334;True;0,08333333333333333;1,0
gesture;False;False;64;0,1;top-left;3;0,1;0;0,002456465425590674;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,90625;0,9930555555555556;True;True;0,1;0,9027777777777778;0,9895833333333334;True;8;0,8819444444444444;1,0;True;0,8854166666666666;0,9965277777777778
gesture;False;False;64;0,1;top-left;3;0,1;0;0,002456465425590674;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,90625;0,9930555555555556;True;True;0,2;0,8819444444444444;0,9965277777777778;True;8;0,8819444444444444;1,0;True;0,8611111111111112;1,0
gesture;False;False;64;0,1;top-left;3;0,1;0;0,002456465425590674;adam;16;flash;80;0;0;1;1;3;False;0,9991496598639455;0,90625;0,9930555555555556;True;True;0,3;0,8229166666666666;0,9965277777777778;True;8;0,8819444444444444;1,0;True;0,7673611111111112;1,0
