dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.04661832119690047,adam,16,flash,10,15,0,0,1,1,False,0.68,0.618,0.15
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.04464960820807351,adam,16,flash,10,14,0,0,1,2,False,0.6948888888888889,0.633,0.186
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.04522139044271575,adam,16,flash,10,13,0,0,1,3,False,0.6895555555555556,0.615,0.249
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.04472368999653392,adam,16,flash,10,12,0,0,1,4,False,0.699,0.606,0.414
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.04327471835414569,adam,16,flash,10,11,0,0,1,5,False,0.7144444444444444,0.633,0.625
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.042004469686084324,adam,16,flash,10,10,0,0,1,6,False,0.7327777777777778,0.613,0.828
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.041654138644536334,adam,16,flash,10,9,0,0,1,7,False,0.7384444444444445,0.611,0.974
cifar10,False,False,42,0.1,top-left,3,0.1,0,0.041276995768149694,adam,16,flash,10,8,0,0,1,8,False,0.7431111111111111,0.604,0.99
