dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
mnist,False,False,42,0.1,top-left,0,0.1,0,0.01681363287360097,adam,16,static,10,0,0,1,1,1,False,0.9057333333333333,0.9925,0.0993
mnist,False,False,42,0.1,top-left,0,0.1,0,0.016794225962335863,adam,16,static,10,0,0,1,1,3,False,0.9057166666666666,0.9922,0.0992
mnist,False,False,42,0.1,top-left,0,0.1,0,0.01678829321799179,adam,16,static,10,0,0,1,1,5,False,0.9059666666666667,0.9927,0.0993
mnist,False,False,42,0.1,top-left,0,0.1,0,0.016755547038683045,adam,16,static,10,0,0,1,1,7,False,0.9062166666666667,0.9918,0.0993
mnist,False,False,42,0.1,top-left,0,0.1,0,0.01677300593930607,adam,16,static,10,0,0,1,1,9,False,0.9061666666666667,0.9931,0.099
mnist,False,False,42,0.1,top-left,0,0.1,0,0.016714565551746635,adam,16,static,10,0,0,1,1,11,False,0.9062833333333333,0.9927,0.0992
