dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04733147437373797,adam,16,static,10,7,0,0,1,1,False,0.6772222222222222,0.618,0.122
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04668058401346207,adam,16,static,10,7,0,0,1,2,False,0.6852222222222222,0.628,0.122
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.045561878525548515,adam,16,static,10,6,0,0,1,3,False,0.6924444444444444,0.631,0.151
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04531952926516533,adam,16,static,10,6,0,0,1,4,False,0.6973333333333334,0.619,0.306
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04318437212705612,adam,16,static,10,5,0,0,1,5,False,0.7148888888888889,0.629,0.521
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04148862477805879,adam,16,static,10,5,0,0,1,6,False,0.7322222222222222,0.614,0.671
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04163245401448674,adam,16,static,10,4,0,0,1,7,False,0.7348888888888889,0.611,0.845
cifar10,False,False,42,0.1,top-left,0,0.2,0,0.04100607521666421,adam,16,static,10,4,0,0,1,8,False,0.7388888888888889,0.621,0.89
