dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,42,0.1,top-left,3,0.3,0,0.04408231531911426,adam,16,static,10,0,0,1,1,1,False,0.7034444444444444,0.614,0.363
cifar10,False,False,42,0.1,top-left,3,0.3,0,0.0409185313946671,adam,16,static,10,0,0,1,1,3,False,0.7415555555555555,0.61,0.901
cifar10,False,False,42,0.1,top-left,3,0.3,0,0.03784430858989556,adam,16,static,10,0,0,1,1,5,False,0.7615555555555555,0.618,1.0
cifar10,False,False,42,0.1,top-left,3,0.3,0,0.03738636824157503,adam,16,static,10,0,0,1,1,7,False,0.7593333333333333,0.601,1.0
cifar10,False,False,42,0.1,top-left,3,0.3,0,0.03467349740035004,adam,16,static,10,0,0,1,1,9,False,0.775,0.625,1.0
cifar10,False,False,42,0.1,top-left,3,0.3,0,0.034330873747666676,adam,16,static,10,0,0,1,1,11,False,0.7791111111111111,0.638,1.0
