dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,False,False,57,0.1,top-left,0,0.1,0,0.012800530406969542,adam,16,static,40,15,0,0,1,1,False,0.9285714285714286,0.9097222222222222,0.10069444444444445
gesture,False,False,57,0.1,top-left,0,0.1,0,0.012623127511873538,adam,16,static,40,14,0,0,1,2,False,0.9285714285714286,0.8993055555555556,0.1076388888888889
gesture,False,False,57,0.1,top-left,0,0.1,0,0.011810946908659067,adam,16,static,40,13,0,0,1,3,False,0.939625850340136,0.90625,0.1111111111111111
gesture,False,False,57,0.1,top-left,0,0.1,0,0.013108685067823145,adam,16,static,40,12,0,0,1,4,False,0.9268707482993197,0.90625,0.09722222222222222
gesture,False,False,57,0.1,top-left,0,0.1,0,0.013526218322416147,adam,16,static,40,11,0,0,1,5,False,0.9209183673469388,0.875,0.11458333333333333
gesture,False,False,57,0.1,top-left,0,0.1,0,0.011507672241882604,adam,16,static,40,10,0,0,1,6,False,0.9362244897959183,0.9131944444444444,0.10416666666666667
gesture,False,False,57,0.1,top-left,0,0.1,0,0.012895903689470016,adam,16,static,40,9,0,0,1,7,False,0.9243197278911565,0.8958333333333334,0.09375
gesture,False,False,57,0.1,top-left,0,0.1,0,0.012905283066044961,adam,16,static,40,8,0,0,1,8,False,0.9251700680272109,0.9027777777777778,0.1111111111111111
