dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,False,False,42,0.1,top-left,3,0.1,0,0.014683831606668477,adam,16,static,40,15,0,1,1,1,False,0.9175170068027211,0.8784722222222222,0.11458333333333333
gesture,False,False,42,0.1,top-left,3,0.1,0,0.014214559131916486,adam,16,static,40,13,0,1,1,3,False,0.91921768707483,0.8819444444444444,0.1284722222222222
gesture,False,False,42,0.1,top-left,3,0.1,0,0.014222304542631316,adam,16,static,40,11,0,1,1,5,False,0.9183673469387755,0.90625,0.1111111111111111
gesture,False,False,42,0.1,top-left,3,0.1,0,0.014615828351934954,adam,16,static,40,9,0,1,1,7,False,0.91921768707483,0.8958333333333334,0.11458333333333333
gesture,False,False,42,0.1,top-left,3,0.1,0,0.014338676551623004,adam,16,static,40,7,0,1,1,9,False,0.9158163265306123,0.8923611111111112,0.125
gesture,False,False,42,0.1,top-left,3,0.1,0,0.013923888253111418,adam,16,static,40,5,0,1,1,11,False,0.923469387755102,0.8923611111111112,0.1076388888888889
