dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0006796541749292525,adam,16,static,10,0,0,1,1,1,False,0.9967,0.9937,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0006466041095164579,adam,16,static,10,0,0,1,1,3,False,0.9969166666666667,0.9933,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.000647081846683515,adam,16,static,10,0,0,1,1,5,False,0.9968,0.9932,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0006775744277521653,adam,16,static,10,0,0,1,1,7,False,0.9968666666666667,0.9934,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0006373419385945453,adam,16,static,10,0,0,1,1,9,False,0.9969833333333333,0.9942,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.0006639267713383864,adam,16,static,10,0,0,1,1,11,False,0.9968,0.9943,1.0
