dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
mnist,False,False,57,0.1,top-left,0,0.3,0,0.016823658678277086,adam,16,static,10,15,0,0,1,1,False,0.9056666666666666,0.9932,0.099
mnist,False,False,57,0.1,top-left,0,0.3,0,0.016815046853432433,adam,16,static,10,14,0,0,1,2,False,0.9056666666666666,0.9927,0.099
mnist,False,False,57,0.1,top-left,0,0.3,0,0.016761341559359183,adam,16,static,10,13,0,0,1,3,False,0.9060666666666667,0.9926,0.0993
mnist,False,False,57,0.1,top-left,0,0.3,0,0.01679001552956179,adam,16,static,10,12,0,0,1,4,False,0.90605,0.9931,0.0991
mnist,False,False,57,0.1,top-left,0,0.3,0,0.016810470138086626,adam,16,static,10,11,0,0,1,5,False,0.9057833333333334,0.993,0.099
mnist,False,False,57,0.1,top-left,0,0.3,0,0.016851616761740296,adam,16,static,10,10,0,0,1,6,False,0.9055166666666666,0.993,0.0992
mnist,False,False,57,0.1,top-left,0,0.3,0,0.016906656604229162,adam,16,static,10,9,0,0,1,7,False,0.9053,0.9933,0.0991
mnist,False,False,57,0.1,top-left,0,0.3,0,0.01681017565531656,adam,16,static,10,8,0,0,1,8,False,0.9060166666666667,0.9934,0.0989
