dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.04724157326420148,adam,16,flash,10,15,0,0,1,1,False,0.6706666666666666,0.616,0.149
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.04490291251407729,adam,16,flash,10,14,0,0,1,2,False,0.6883333333333334,0.631,0.185
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.04417207089563211,adam,16,flash,10,13,0,0,1,3,False,0.695,0.646,0.272
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.041487959356771575,adam,16,flash,10,12,0,0,1,4,False,0.7245555555555555,0.631,0.404
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.042260345253679485,adam,16,flash,10,11,0,0,1,5,False,0.7258888888888889,0.629,0.681
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.04110428666075071,adam,16,flash,10,10,0,0,1,6,False,0.7424444444444445,0.623,0.842
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.0412522515323427,adam,16,flash,10,9,0,0,1,7,False,0.744,0.622,0.983
cifar10,False,False,57,0.1,top-left,2,0.1,0,0.03972250106599596,adam,16,flash,10,8,0,0,1,8,False,0.752,0.618,1.0
