dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.0479679989417394,adam,16,static,10,7,0,0,1,1,False,0.6701111111111111,0.623,0.129
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.04735144505235884,adam,16,static,10,7,0,0,1,2,False,0.6767777777777778,0.621,0.17
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.04446993637416098,adam,16,static,10,6,0,0,1,3,False,0.7075555555555556,0.602,0.534
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.04137991077535682,adam,16,static,10,6,0,0,1,4,False,0.7365555555555555,0.614,0.779
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.041282858984337915,adam,16,static,10,5,0,0,1,5,False,0.7396666666666667,0.62,0.856
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.038551537493864696,adam,16,static,10,5,0,0,1,6,False,0.7604444444444445,0.636,0.923
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.03733332694735792,adam,16,static,10,4,0,0,1,7,False,0.7674444444444445,0.644,0.957
cifar10,False,False,57,0.1,top-left,0,0.3,0,0.03692258472409513,adam,16,static,10,4,0,0,1,8,False,0.7688888888888888,0.628,0.977
