dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.042610189292165965,adam,16,static,10,7,0,0,1,1,False,0.7261111111111112,0.629,0.686
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.03997111547489961,adam,16,static,10,7,0,0,1,2,False,0.7492222222222222,0.618,0.959
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.03671697697043419,adam,16,static,10,6,0,0,1,3,False,0.7782222222222223,0.653,0.988
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.036098502919077874,adam,16,static,10,6,0,0,1,4,False,0.7774444444444445,0.637,0.999
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.03516565667589505,adam,16,static,10,5,0,0,1,5,False,0.7843333333333333,0.645,1.0
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.03390123486849997,adam,16,static,10,5,0,0,1,6,False,0.7934444444444444,0.662,1.0
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.03365912156965997,adam,16,static,10,4,0,0,1,7,False,0.7967777777777778,0.654,1.0
cifar10,False,False,57,0.1,top-left,3,0.3,0,0.03323869616455502,adam,16,static,10,4,0,0,1,8,False,0.7974444444444444,0.65,1.0
