dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,False,False,57,0.1,top-left,1,0.2,0,0.0122637048452383,adam,16,static,40,0,0,0,1,1,False,0.9336734693877551,0.8784722222222222,0.11458333333333333
gesture,False,False,57,0.1,top-left,1,0.2,0,0.012693721427246422,adam,16,static,40,0,0,0,1,2,False,0.923469387755102,0.8993055555555556,0.09722222222222222
gesture,False,False,57,0.1,top-left,1,0.2,0,0.010830419610070736,adam,16,static,40,0,0,0,1,3,False,0.9421768707482994,0.9097222222222222,0.1701388888888889
gesture,False,False,57,0.1,top-left,1,0.2,0,0.00902174077421224,adam,16,static,40,0,0,0,1,4,False,0.9736394557823129,0.9131944444444444,0.6770833333333334
gesture,False,False,57,0.1,top-left,1,0.2,0,0.005630036912617736,adam,16,static,40,0,0,0,1,5,False,0.9906462585034014,0.8923611111111112,0.9965277777777778
gesture,False,False,57,0.1,top-left,1,0.2,0,0.004327796554813783,adam,16,static,40,0,0,0,1,6,False,0.9914965986394558,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.2,0,0.003687051965912082,adam,16,static,40,0,0,0,1,7,False,0.9957482993197279,0.9201388888888888,1.0
gesture,False,False,57,0.1,top-left,1,0.2,0,0.0037814016536283656,adam,16,static,40,0,0,0,1,8,False,0.9914965986394558,0.9131944444444444,1.0
