dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
mnist,False,False,42,0.1,top-left,1,0.1,0,0.015846790718318272,adam,16,flash,10,15,0,1,1,1,False,0.9063166666666667,0.9928,0.1001
mnist,False,False,42,0.1,top-left,1,0.1,0,0.011290155636774338,adam,16,flash,10,13,0,1,1,3,False,0.9072833333333333,0.9927,0.1005
mnist,False,False,42,0.1,top-left,1,0.1,0,0.008010449558934003,adam,16,flash,10,11,0,1,1,5,False,0.9114333333333333,0.9934,0.1053
mnist,False,False,42,0.1,top-left,1,0.1,0,0.005676196844480971,adam,16,flash,10,9,0,1,1,7,False,0.9641333333333333,0.9933,0.195
mnist,False,False,42,0.1,top-left,1,0.1,0,0.003806847672459359,adam,16,flash,10,7,0,1,1,9,False,0.9957166666666667,0.9927,1.0
mnist,False,False,42,0.1,top-left,1,0.1,0,0.00236366188651009,adam,16,flash,10,5,0,1,1,11,False,0.9963,0.9934,1.0
